Artist,Last Updated,Region Name,Play Count,Unique Listeners
!!!,1/16/2026 7:46:15 PM,AK,1,1
10cc,1/16/2026 7:46:15 PM,AK,1,1
112,1/16/2026 7:46:15 PM,AK,2,1
1990s,1/16/2026 7:46:15 PM,AK,2,2
20 Minute Loop,1/16/2026 7:46:15 PM,AK,1,1
33Miles,1/16/2026 7:46:15 PM,AK,1,1
3 Doors Down,1/16/2026 7:46:15 PM,AK,6,4
3OH!3,1/16/2026 7:46:15 PM,AK,2,2
44,1/16/2026 7:46:15 PM,AK,3,2
4 Non Blondes,1/16/2026 7:46:15 PM,AK,2,1
50 Cent,1/16/2026 7:46:15 PM,AK,1,1
59 Times the Pain,1/16/2026 7:46:15 PM,AK,1,1
65daysofstatic,1/16/2026 7:46:15 PM,AK,1,1
Aaron Shust,1/16/2026 7:46:15 PM,AK,1,1
Abd Al Malik,1/16/2026 7:46:15 PM,AK,1,1
Above The Law,1/16/2026 7:46:15 PM,AK,1,1
Absolute Beginner / Samy Deluxe,1/16/2026 7:46:15 PM,AK,1,1
Ace of Base,1/16/2026 7:46:15 PM,AK,1,1
Acid Bath,1/16/2026 7:46:15 PM,AK,1,1
Adam Lambert,1/16/2026 7:46:15 PM,AK,3,2
Adam White & Andy Moor Present Whiteroom,1/16/2026 7:46:15 PM,AK,1,1
A Day To Remember,1/16/2026 7:46:15 PM,AK,4,2
Adoniran Barbosa,1/16/2026 7:46:15 PM,AK,1,1
Adoniran Barbosa - Com Nosso Samba,1/16/2026 7:46:15 PM,AK,1,1
Adriana Calcanhotto,1/16/2026 7:46:15 PM,AK,1,1
Aerosmith,1/16/2026 7:46:15 PM,AK,4,2
AFI,1/16/2026 7:46:15 PM,AK,2,2
A Fine Frenzy,1/16/2026 7:46:15 PM,AK,1,1
Afrika Bambaataa & The Soul Sonic Force,1/16/2026 7:46:15 PM,AK,1,1
Afro Celts,1/16/2026 7:46:15 PM,AK,2,2
Afroman,1/16/2026 7:46:15 PM,AK,1,1
Afro Medusa,1/16/2026 7:46:15 PM,AK,1,1
AGATHODAIMON,1/16/2026 7:46:15 PM,AK,1,1
Agent Orange,1/16/2026 7:46:15 PM,AK,1,1
Agnetha FÃÂ¤ltskog,1/16/2026 7:46:15 PM,AK,1,1
Aiden,1/16/2026 7:46:15 PM,AK,1,1
Air,1/16/2026 7:46:15 PM,AK,3,2
Airbourne,1/16/2026 7:46:15 PM,AK,2,2
Air France,1/16/2026 7:46:15 PM,AK,1,1
Airwave,1/16/2026 7:46:15 PM,AK,1,1
Akon,1/16/2026 7:46:15 PM,AK,2,2
Akron/Family,1/16/2026 7:46:15 PM,AK,1,1
Alaine,1/16/2026 7:46:15 PM,AK,1,1
Alanis Morissette,1/16/2026 7:46:15 PM,AK,1,1
Alan Jackson,1/16/2026 7:46:15 PM,AK,1,1
Alaska Y Dinarama,1/16/2026 7:46:15 PM,AK,1,1
Albert Hammond Jr.,1/16/2026 7:46:15 PM,AK,1,1
Alberto Plaza,1/16/2026 7:46:15 PM,AK,1,1
Alceu ValenÃÂ§a,1/16/2026 7:46:15 PM,AK,3,1
Alejandra Guzman,1/16/2026 7:46:15 PM,AK,1,1
Alejandro Sanz,1/16/2026 7:46:15 PM,AK,3,3
Alela Diane,1/16/2026 7:46:15 PM,AK,1,1
Alesha Dixon,1/16/2026 7:46:15 PM,AK,1,1
Alexander 'Skip' Spence,1/16/2026 7:46:15 PM,AK,1,1
Alex Fong,1/16/2026 7:46:15 PM,AK,1,1
Alex Gaudino Feat. Crystal Waters,1/16/2026 7:46:15 PM,AK,1,1
Alexi Murdoch,1/16/2026 7:46:15 PM,AK,1,1
Alex Ubago,1/16/2026 7:46:15 PM,AK,2,1
Alice DJ,1/16/2026 7:46:15 PM,AK,1,1
Alice In Chains,1/16/2026 7:46:15 PM,AK,7,2
Alicia Keys,1/16/2026 7:46:15 PM,AK,4,3
Ali Farka Toure_ Ry Cooder,1/16/2026 7:46:15 PM,AK,1,1
Alison Hinds,1/16/2026 7:46:15 PM,AK,1,1
Alkaline Trio,1/16/2026 7:46:15 PM,AK,1,1
Alliance Ethnik,1/16/2026 7:46:15 PM,AK,19,3
All Time Low,1/16/2026 7:46:15 PM,AK,3,3
Aloe Blacc,1/16/2026 7:46:15 PM,AK,1,1
Alter Bridge,1/16/2026 7:46:15 PM,AK,2,2
Alvaro Torres,1/16/2026 7:46:15 PM,AK,1,1
Aly & AJ,1/16/2026 7:46:15 PM,AK,1,1
American Head Charge,1/16/2026 7:46:15 PM,AK,1,1
Amistades Peligrosas,1/16/2026 7:46:15 PM,AK,1,1
Amon Amarth,1/16/2026 7:46:15 PM,AK,2,1
Amoral,1/16/2026 7:46:15 PM,AK,1,1
Amy MacDonald,1/16/2026 7:46:15 PM,AK,1,1
Amy Winehouse,1/16/2026 7:46:15 PM,AK,4,3
