Genre (Summary Genre By Region),Last Updated (Summary Genre By Region),Region Name (Summary Genre By Region),Listen Count
2000S,1/16/2026 7:35:05 PM,West,18
New Wave,1/16/2026 7:35:05 PM,Southeast,3552
Sludge,1/16/2026 7:35:05 PM,Midwest,1
Néo-Zélandais,1/16/2026 7:35:05 PM,Southeast,4
Garage,1/16/2026 7:35:05 PM,West,1
Welsh,1/16/2026 7:35:05 PM,Northeast,6
Contemporary Country,1/16/2026 7:35:05 PM,Midwest,263
Deathgrind,1/16/2026 7:35:05 PM,Northeast,6
Pagan Metal,1/16/2026 7:35:05 PM,Midwest,1
Power Noise,1/16/2026 7:35:05 PM,Midwest,3
Zoblazo,1/16/2026 7:35:05 PM,Midwest,1
Country Rap,1/16/2026 7:35:05 PM,Midwest,33
Acid Jazz,1/16/2026 7:35:05 PM,Southeast,444
Usa,1/16/2026 7:35:05 PM,Northeast,129
Fife And Drum Blues,1/16/2026 7:35:05 PM,Southeast,3
Vgm,1/16/2026 7:35:05 PM,Southeast,86
Katie Armiger,1/16/2026 7:35:05 PM,West,2
Crust Punk,1/16/2026 7:35:05 PM,Midwest,1
Industrial Metal,1/16/2026 7:35:05 PM,Southeast,1577
Ethereal,1/16/2026 7:35:05 PM,West,42
Clarinetist,1/16/2026 7:35:05 PM,Northeast,4
Chanson Française,1/16/2026 7:35:05 PM,Northeast,115
Christian Hip-Hop,1/16/2026 7:35:05 PM,Midwest,10
Bossa Nova,1/16/2026 7:35:05 PM,Midwest,377
Slim,1/16/2026 7:35:05 PM,Northeast,1
Electronic,1/16/2026 7:35:05 PM,Northeast,4364
Psychedelic,1/16/2026 7:35:05 PM,Midwest,14
Atmospheric Melodic Gothic Metal,1/16/2026 7:35:05 PM,Midwest,4
Chillwave,1/16/2026 7:35:05 PM,Southeast,110
Salsa,1/16/2026 7:35:05 PM,Midwest,325
Dub Poetry,1/16/2026 7:35:05 PM,West,8
Apocalyptic Folk,1/16/2026 7:35:05 PM,Northeast,15
Singer,1/16/2026 7:35:05 PM,West,14
Neo-Psychedelia,1/16/2026 7:35:05 PM,Southeast,117
Glam Rock,1/16/2026 7:35:05 PM,Midwest,275
Bebop,1/16/2026 7:35:05 PM,West,3
Big Room House,1/16/2026 7:35:05 PM,Southeast,2
Rhythm And Blues,1/16/2026 7:35:05 PM,West,15
Childrens Music,1/16/2026 7:35:05 PM,Midwest,6
Belgian,1/16/2026 7:35:05 PM,Northeast,5
Neue Deutsche Härte,1/16/2026 7:35:05 PM,West,69
Festejo,1/16/2026 7:35:05 PM,Midwest,2
Brazilian,1/16/2026 7:35:05 PM,Southeast,319
Stoner Rock,1/16/2026 7:35:05 PM,West,499
Madchester,1/16/2026 7:35:05 PM,Midwest,1
Britpop,1/16/2026 7:35:05 PM,Unknown,5
Media Music,1/16/2026 7:35:05 PM,Northeast,1
Fixme Artist Credits,1/16/2026 7:35:05 PM,Midwest,45
Merengue,1/16/2026 7:35:05 PM,Midwest,10
Shoegazing,1/16/2026 7:35:05 PM,Southeast,16
American Idol,1/16/2026 7:35:05 PM,Southeast,61
Chopped And Screwed,1/16/2026 7:35:05 PM,Northeast,1
Female Vocalist,1/16/2026 7:35:05 PM,Southeast,5
Folktronica,1/16/2026 7:35:05 PM,Midwest,15
Spain,1/16/2026 7:35:05 PM,Southeast,30
Standup Comedy,1/16/2026 7:35:05 PM,Northeast,1
Acoustic Rock,1/16/2026 7:35:05 PM,Unknown,9
Drone,1/16/2026 7:35:05 PM,Northeast,8
Pop Soul,1/16/2026 7:35:05 PM,West,364
2000S,1/16/2026 7:35:05 PM,Midwest,15
Hardcore Punk,1/16/2026 7:35:05 PM,Southeast,637
Hip-Hop,1/16/2026 7:35:05 PM,Northeast,22
Filk,1/16/2026 7:35:05 PM,West,3
Liverpool,1/16/2026 7:35:05 PM,Midwest,1
K-Pop,1/16/2026 7:35:05 PM,West,10
Balkan,1/16/2026 7:35:05 PM,Northeast,40
